date,family,predicted_sales
2017-08-19,GROCERY I,268470.8734650734
2017-08-20,GROCERY I,276837.7191850051
2017-08-21,GROCERY I,231464.47848936246
2017-08-22,GROCERY I,220781.55316569228
2017-08-16,GROCERY II,1341.9470633370536
2017-08-17,GROCERY II,1301.5383161770567
2017-08-18,GROCERY II,1431.2071632375466
2017-08-19,GROCERY II,1494.1293682524147
2017-08-20,GROCERY II,1547.502169860554
2017-08-21,GROCERY II,1293.837581283707
2017-08-22,GROCERY II,1233.1639456768928
2017-08-16,HARDWARE,39.19642857142857
2017-08-17,HARDWARE,39.19642857142857
2017-08-18,HARDWARE,39.19642857142857
2017-08-19,HARDWARE,39.19642857142857
2017-08-20,HARDWARE,39.19642857142857
2017-08-21,HARDWARE,39.19642857142857
2017-08-22,HARDWARE,39.19642857142857
2017-08-16,HOME AND KITCHEN I,1664.1247227260042
2017-08-17,HOME AND KITCHEN I,1633.157293153101
2017-08-18,HOME AND KITCHEN I,1697.6082481554213
2017-08-19,HOME AND KITCHEN I,1798.7174004759215
2017-08-20,HOME AND KITCHEN I,1757.34298786797
2017-08-21,HOME AND KITCHEN I,1477.1729060282714
2017-08-22,HOME AND KITCHEN I,1495.9512914540364
2017-08-16,HOME AND KITCHEN II,1497.8943359375
2017-08-17,HOME AND KITCHEN II,1291.7113807896205
2017-08-18,HOME AND KITCHEN II,1505.511537552814
2017-08-19,HOME AND KITCHEN II,1649.8725335539614
2017-08-20,HOME AND KITCHEN II,1612.682087098573
2017-08-21,HOME AND KITCHEN II,1447.9388933425298
2017-08-22,HOME AND KITCHEN II,1357.9830082329909
2017-08-16,HOME APPLIANCES,6.125
2017-08-17,HOME APPLIANCES,6.125
2017-08-18,HOME APPLIANCES,6.125
2017-08-19,HOME APPLIANCES,6.125
2017-08-20,HOME APPLIANCES,6.125
2017-08-21,HOME APPLIANCES,6.125
2017-08-22,HOME APPLIANCES,6.125
2017-08-16,HOME CARE,13735.600809151785
2017-08-17,HOME CARE,12452.765564811862
2017-08-18,HOME CARE,13287.179248058263
2017-08-19,HOME CARE,15868.606335809867
2017-08-20,HOME CARE,17535.172360692788
2017-08-21,HOME CARE,14795.994814543908
2017-08-22,HOME CARE,14008.637881930612
2017-08-16,LADIESWEAR,463.35020839146205
2017-08-17,LADIESWEAR,430.6928374745894
2017-08-18,LADIESWEAR,472.55717232004054
2017-08-19,LADIESWEAR,544.6221434886672
2017-08-20,LADIESWEAR,644.778217878974
2017-08-21,LADIESWEAR,404.77670548464096
2017-08-22,LADIESWEAR,405.18456082084094
2017-08-16,LAWN AND GARDEN,1267.767857142857
2017-08-17,LAWN AND GARDEN,856.5880202935666
2017-08-18,LAWN AND GARDEN,894.7935434289159
2017-08-19,LAWN AND GARDEN,889.7150515610815
2017-08-20,LAWN AND GARDEN,798.8371665289337
2017-08-21,LAWN AND GARDEN,759.179101525821
2017-08-22,LAWN AND GARDEN,749.9435094832334
2017-08-16,LINGERIE,499.0729274204799
2017-08-17,LINGERIE,426.7089251086176
2017-08-18,LINGERIE,451.717406891314
2017-08-19,LINGERIE,508.66094761355333
2017-08-20,LINGERIE,498.47175597807393
2017-08-21,LINGERIE,423.8678407906387
2017-08-22,LINGERIE,436.1555470986582
2017-08-16,"LIQUOR,WINE,BEER",4705.207631138393
2017-08-17,"LIQUOR,WINE,BEER",5324.833270687181
2017-08-18,"LIQUOR,WINE,BEER",7456.64552386172
2017-08-19,"LIQUOR,WINE,BEER",8121.0535714285725
2017-08-20,"LIQUOR,WINE,BEER",4914.348943514787
2017-08-21,"LIQUOR,WINE,BEER",3986.050219386403
2017-08-22,"LIQUOR,WINE,BEER",4301.333074073275
2017-08-16,MAGAZINES,355.65212402343747
2017-08-17,MAGAZINES,306.84339922223774
2017-08-18,MAGAZINES,321.99997642174543
2017-08-19,MAGAZINES,341.1974171662711
2017-08-20,MAGAZINES,320.95968998344165
2017-08-21,MAGAZINES,265.0578375072158
2017-08-22,MAGAZINES,232.46884810043807
2017-08-16,MEATS,17902.74460267857
2017-08-17,MEATS,18637.007674936223
2017-08-18,MEATS,25190.856192478135
2017-08-19,MEATS,19087.23428376291
2017-08-20,MEATS,19942.725317799177
2017-08-21,MEATS,17407.763754410214
2017-08-22,MEATS,17260.62190750101
2017-08-16,PERSONAL CARE,15298.337611607141
2017-08-17,PERSONAL CARE,14089.13397241709
2017-08-18,PERSONAL CARE,14999.998712418
2017-08-19,PERSONAL CARE,17283.29364886538
2017-08-20,PERSONAL CARE,19384.13034095961
2017-08-21,PERSONAL CARE,15677.57295267038
2017-08-22,PERSONAL CARE,14712.02839506161
2017-08-16,PET SUPPLIES,348.14356645856583
2017-08-17,PET SUPPLIES,310.6142064370914
2017-08-18,PET SUPPLIES,331.8568835042614
2017-08-19,PET SUPPLIES,339.6981062459619
2017-08-20,PET SUPPLIES,366.81639963167055
2017-08-21,PET SUPPLIES,275.22206079473546
2017-08-22,PET SUPPLIES,231.57658697200145
2017-08-16,PLAYERS AND ELECTRONICS,549.3948416573661
2017-08-17,PLAYERS AND ELECTRONICS,469.42948761609125
2017-08-18,PLAYERS AND ELECTRONICS,583.2726583709272
2017-08-19,PLAYERS AND ELECTRONICS,574.7288584129959
2017-08-20,PLAYERS AND ELECTRONICS,553.3163966460418
2017-08-21,PLAYERS AND ELECTRONICS,397.09149955824375
2017-08-22,PLAYERS AND ELECTRONICS,352.13383605926106
2017-08-16,POULTRY,17844.869513392856
2017-08-17,POULTRY,16685.902580149872
2017-08-18,POULTRY,23895.70919463397
2017-08-19,POULTRY,20509.00589895757
2017-08-20,POULTRY,21742.805015609327
2017-08-21,POULTRY,18180.659908019366
2017-08-22,POULTRY,17340.796743363055
2017-08-16,PREPARED FOODS,4484.184895089285
2017-08-17,PREPARED FOODS,4218.406066792889
2017-08-18,PREPARED FOODS,4802.948249928879
2017-08-19,PREPARED FOODS,4922.523411532973
2017-08-20,PREPARED FOODS,5075.50281415894
2017-08-21,PREPARED FOODS,4485.040269029145
2017-08-22,PREPARED FOODS,4177.4492555868665
2017-08-16,PRODUCE,143677.54765178572
2017-08-17,PRODUCE,98195.5311582908
2017-08-18,PRODUCE,113916.88614989613
2017-08-19,PRODUCE,122947.34024382025
2017-08-20,PRODUCE,135446.23842837682
2017-08-21,PRODUCE,115210.05102173584
2017-08-22,PRODUCE,117808.41348516739
2017-08-16,SCHOOL AND OFFICE SUPPLIES,3085.3928571428573
2017-08-17,SCHOOL AND OFFICE SUPPLIES,2756.890051020408
2017-08-18,SCHOOL AND OFFICE SUPPLIES,3085.3928571428573
2017-08-19,SCHOOL AND OFFICE SUPPLIES,3085.3928571428573
2017-08-20,SCHOOL AND OFFICE SUPPLIES,3085.3928571428573
2017-08-21,SCHOOL AND OFFICE SUPPLIES,2793.153810899918
2017-08-22,SCHOOL AND OFFICE SUPPLIES,2740.173582901655
2017-08-16,SEAFOOD,930.1868839285713
2017-08-17,SEAFOOD,847.409396413624
2017-08-18,SEAFOOD,1100.6554918137726
2017-08-19,SEAFOOD,1046.828897517622
2017-08-20,SEAFOOD,1060.917817832551
2017-08-21,SEAFOOD,866.101567154281
2017-08-22,SEAFOOD,837.5615803280805
