date,family,total_sales,total_promotions,oil_price,is_holiday
2013-04-19,AUTOMOTIVE,268.0,0,88.04,
2013-04-20,AUTOMOTIVE,366.0,0,88.04,
2013-04-21,AUTOMOTIVE,361.0,0,88.04,1.0
2013-04-22,AUTOMOTIVE,206.0,0,88.81,
2013-04-23,AUTOMOTIVE,203.0,0,89.21,
2013-04-24,AUTOMOTIVE,268.0,0,91.07,
2013-04-25,AUTOMOTIVE,244.0,0,93.27,
2013-04-26,AUTOMOTIVE,194.0,0,92.63,
2013-04-27,AUTOMOTIVE,298.0,0,92.63,
2013-04-28,AUTOMOTIVE,348.0,0,92.63,
2013-04-29,AUTOMOTIVE,264.0,0,94.09,1.0
2013-04-30,AUTOMOTIVE,198.0,0,93.22,
2013-05-01,AUTOMOTIVE,330.0,0,90.74,1.0
2013-05-02,AUTOMOTIVE,278.0,0,93.7,
2013-05-03,AUTOMOTIVE,186.0,0,95.25,
2013-05-04,AUTOMOTIVE,383.0,0,95.25,
2013-05-05,AUTOMOTIVE,407.0,0,95.25,
2013-05-06,AUTOMOTIVE,213.0,0,95.8,
2013-05-07,AUTOMOTIVE,215.0,0,95.28,
2013-05-08,AUTOMOTIVE,235.0,0,96.24,
2013-05-09,AUTOMOTIVE,219.0,0,96.09,
2013-05-10,AUTOMOTIVE,265.0,0,95.81,
2013-05-11,AUTOMOTIVE,405.0,0,95.81,1.0
2013-05-12,AUTOMOTIVE,260.0,0,95.81,1.0
2013-05-13,AUTOMOTIVE,264.0,0,94.76,
2013-05-14,AUTOMOTIVE,226.0,0,93.96,
2013-05-15,AUTOMOTIVE,211.0,0,93.95,
2013-05-16,AUTOMOTIVE,291.0,0,94.85,
2013-05-17,AUTOMOTIVE,254.0,0,95.72,
2013-05-18,AUTOMOTIVE,410.0,0,95.72,
2013-05-19,AUTOMOTIVE,423.0,0,95.72,
2013-05-20,AUTOMOTIVE,311.0,0,96.29,
2013-05-21,AUTOMOTIVE,231.0,0,95.55,
2013-05-22,AUTOMOTIVE,284.0,0,93.98,
2013-05-23,AUTOMOTIVE,308.0,0,94.12,
2013-05-24,AUTOMOTIVE,362.0,0,93.84,1.0
2013-05-25,AUTOMOTIVE,368.0,0,93.84,
2013-05-26,AUTOMOTIVE,360.0,0,93.84,
2013-05-27,AUTOMOTIVE,232.0,0,93.84,
2013-05-28,AUTOMOTIVE,269.0,0,94.65,
2013-05-29,AUTOMOTIVE,268.0,0,93.13,
2013-05-30,AUTOMOTIVE,318.0,0,93.57,
2013-05-31,AUTOMOTIVE,248.0,0,91.93,
2013-06-01,AUTOMOTIVE,359.0,0,91.93,
2013-06-02,AUTOMOTIVE,416.0,0,91.93,
2013-06-03,AUTOMOTIVE,277.0,0,93.41,
2013-06-04,AUTOMOTIVE,199.0,0,93.36,
2013-06-05,AUTOMOTIVE,247.0,0,93.66,
2013-06-06,AUTOMOTIVE,206.0,0,94.71,
2013-06-07,AUTOMOTIVE,254.0,0,96.11,
2013-06-08,AUTOMOTIVE,335.0,0,96.11,
2013-06-09,AUTOMOTIVE,435.0,0,96.11,
2013-06-10,AUTOMOTIVE,216.0,0,95.82,
2013-06-11,AUTOMOTIVE,166.0,0,95.5,
2013-06-12,AUTOMOTIVE,225.0,0,95.98,
2013-06-13,AUTOMOTIVE,274.0,0,96.66,
2013-06-14,AUTOMOTIVE,242.0,0,97.83,
2013-06-15,AUTOMOTIVE,350.0,0,97.83,
2013-06-16,AUTOMOTIVE,319.0,0,97.83,
2013-06-17,AUTOMOTIVE,243.0,0,97.86,
2013-06-18,AUTOMOTIVE,259.0,0,98.46,
2013-06-19,AUTOMOTIVE,207.0,0,98.24,
2013-06-20,AUTOMOTIVE,250.0,0,94.89,
2013-06-21,AUTOMOTIVE,206.0,0,93.81,
2013-06-22,AUTOMOTIVE,377.0,0,93.81,
2013-06-23,AUTOMOTIVE,390.0,0,93.81,1.0
2013-06-24,AUTOMOTIVE,212.0,0,95.07,
2013-06-25,AUTOMOTIVE,256.0,0,95.25,1.0
2013-06-26,AUTOMOTIVE,235.0,0,95.47,
2013-06-27,AUTOMOTIVE,217.0,0,97.0,
2013-06-28,AUTOMOTIVE,200.0,0,96.36,
2013-06-29,AUTOMOTIVE,373.0,0,96.36,
2013-06-30,AUTOMOTIVE,366.0,0,96.36,
2013-07-01,AUTOMOTIVE,303.0,0,97.94,
2013-07-02,AUTOMOTIVE,250.0,0,99.65,
2013-07-03,AUTOMOTIVE,210.0,0,101.92,1.0
2013-07-04,AUTOMOTIVE,213.0,0,101.92,
2013-07-05,AUTOMOTIVE,212.0,0,103.09,
2013-07-06,AUTOMOTIVE,332.0,0,103.09,
2013-07-07,AUTOMOTIVE,367.0,0,103.09,
2013-07-08,AUTOMOTIVE,239.0,0,103.03,
2013-07-09,AUTOMOTIVE,264.0,0,103.46,
2013-07-10,AUTOMOTIVE,199.0,0,106.41,
2013-07-11,AUTOMOTIVE,223.0,0,104.77,
2013-07-12,AUTOMOTIVE,202.0,0,105.85,
2013-07-13,AUTOMOTIVE,352.0,0,105.85,
2013-07-14,AUTOMOTIVE,350.0,0,105.85,
2013-07-15,AUTOMOTIVE,267.0,0,106.2,
2013-07-16,AUTOMOTIVE,263.0,0,105.88,
2013-07-17,AUTOMOTIVE,227.0,0,106.39,
2013-07-18,AUTOMOTIVE,248.0,0,107.94,
2013-07-19,AUTOMOTIVE,247.0,0,108.0,
2013-07-20,AUTOMOTIVE,337.0,0,108.0,
2013-07-21,AUTOMOTIVE,364.0,0,108.0,
2013-07-22,AUTOMOTIVE,296.0,0,106.61,
2013-07-23,AUTOMOTIVE,258.0,0,107.13,1.0
2013-07-24,AUTOMOTIVE,294.0,0,105.41,1.0
2013-07-25,AUTOMOTIVE,223.0,0,105.47,1.0
2013-07-26,AUTOMOTIVE,243.0,0,104.76,
2013-07-27,AUTOMOTIVE,352.0,0,104.76,
2013-07-28,AUTOMOTIVE,415.0,0,104.76,
2013-07-29,AUTOMOTIVE,263.0,0,104.61,
2013-07-30,AUTOMOTIVE,230.0,0,103.14,
2013-07-31,AUTOMOTIVE,265.0,0,105.1,
2013-08-01,AUTOMOTIVE,272.0,0,107.93,
2013-08-02,AUTOMOTIVE,266.0,0,106.94,
2013-08-03,AUTOMOTIVE,383.0,0,106.94,
2013-08-04,AUTOMOTIVE,414.0,0,106.94,
2013-08-05,AUTOMOTIVE,255.0,0,106.61,1.0
2013-08-06,AUTOMOTIVE,252.0,0,105.32,
2013-08-07,AUTOMOTIVE,207.0,0,104.41,
2013-08-08,AUTOMOTIVE,238.0,0,103.45,
2013-08-09,AUTOMOTIVE,308.0,0,106.04,
2013-08-10,AUTOMOTIVE,305.0,0,106.04,1.0
2013-08-11,AUTOMOTIVE,357.0,0,106.04,
2013-08-12,AUTOMOTIVE,227.0,0,106.19,
2013-08-13,AUTOMOTIVE,197.0,0,106.78,
2013-08-14,AUTOMOTIVE,227.0,0,106.89,
2013-08-15,AUTOMOTIVE,213.0,0,107.43,1.0
2013-08-16,AUTOMOTIVE,290.0,0,107.58,
2013-08-17,AUTOMOTIVE,324.0,0,107.58,
2013-08-18,AUTOMOTIVE,325.0,0,107.58,
2013-08-19,AUTOMOTIVE,237.0,0,107.14,
2013-08-20,AUTOMOTIVE,224.0,0,104.9,
2013-08-21,AUTOMOTIVE,240.0,0,103.93,
2013-08-22,AUTOMOTIVE,215.0,0,104.93,
2013-08-23,AUTOMOTIVE,204.0,0,106.48,
2013-08-24,AUTOMOTIVE,317.0,0,106.48,1.0
2013-08-25,AUTOMOTIVE,319.0,0,106.48,
2013-08-26,AUTOMOTIVE,219.0,0,105.88,
2013-08-27,AUTOMOTIVE,178.0,0,109.11,
2013-08-28,AUTOMOTIVE,235.0,0,110.17,
2013-08-29,AUTOMOTIVE,205.0,0,108.51,
2013-08-30,AUTOMOTIVE,188.0,0,107.98,
2013-08-31,AUTOMOTIVE,323.0,0,107.98,
2013-09-01,AUTOMOTIVE,406.0,0,107.98,
2013-09-02,AUTOMOTIVE,236.0,0,107.98,
2013-09-03,AUTOMOTIVE,213.0,0,108.67,
2013-09-04,AUTOMOTIVE,186.0,0,107.29,
2013-09-05,AUTOMOTIVE,233.0,0,108.5,
2013-09-06,AUTOMOTIVE,159.0,0,110.62,
2013-09-07,AUTOMOTIVE,351.0,0,110.62,
2013-09-08,AUTOMOTIVE,346.0,0,110.62,
2013-09-09,AUTOMOTIVE,222.0,0,109.62,
2013-09-10,AUTOMOTIVE,181.0,0,107.48,
2013-09-11,AUTOMOTIVE,200.0,0,107.65,
2013-09-12,AUTOMOTIVE,192.0,0,108.72,
2013-09-13,AUTOMOTIVE,214.0,0,108.31,
2013-09-14,AUTOMOTIVE,270.0,0,108.31,
2013-09-15,AUTOMOTIVE,290.0,0,108.31,
2013-09-16,AUTOMOTIVE,185.0,0,106.54,
2013-09-17,AUTOMOTIVE,142.0,0,105.36,
2013-09-18,AUTOMOTIVE,215.0,0,108.23,
2013-09-19,AUTOMOTIVE,159.0,0,106.26,
2013-09-20,AUTOMOTIVE,190.0,0,104.7,
2013-09-21,AUTOMOTIVE,306.0,0,104.7,
2013-09-22,AUTOMOTIVE,346.0,0,104.7,
2013-09-23,AUTOMOTIVE,201.0,0,103.62,
2013-09-24,AUTOMOTIVE,209.0,0,103.22,
2013-09-25,AUTOMOTIVE,155.0,0,102.68,
2013-09-26,AUTOMOTIVE,182.0,0,103.1,
2013-09-27,AUTOMOTIVE,211.0,0,102.86,
2013-09-28,AUTOMOTIVE,316.0,0,102.86,1.0
2013-09-29,AUTOMOTIVE,305.0,0,102.86,
2013-09-30,AUTOMOTIVE,208.0,0,102.36,
2013-10-01,AUTOMOTIVE,189.0,0,102.09,
2013-10-02,AUTOMOTIVE,213.0,0,104.15,
2013-10-03,AUTOMOTIVE,148.0,0,103.29,
2013-10-04,AUTOMOTIVE,211.0,0,103.83,
2013-10-05,AUTOMOTIVE,313.0,0,103.83,
2013-10-06,AUTOMOTIVE,336.0,0,103.83,
2013-10-07,AUTOMOTIVE,220.0,0,103.07,1.0
2013-10-08,AUTOMOTIVE,167.0,0,103.54,
2013-10-09,AUTOMOTIVE,193.0,0,101.63,1.0
2013-10-10,AUTOMOTIVE,194.0,0,103.08,
2013-10-11,AUTOMOTIVE,196.0,0,102.17,1.0
2013-10-12,AUTOMOTIVE,303.0,0,102.17,
2013-10-13,AUTOMOTIVE,247.0,0,102.17,
2013-10-14,AUTOMOTIVE,136.0,0,102.46,
2013-10-15,AUTOMOTIVE,149.0,0,101.15,
2013-10-16,AUTOMOTIVE,189.0,0,102.34,
2013-10-17,AUTOMOTIVE,177.0,0,100.72,
2013-10-18,AUTOMOTIVE,196.0,0,100.87,
2013-10-19,AUTOMOTIVE,329.0,0,100.87,
2013-10-20,AUTOMOTIVE,381.0,0,100.87,
2013-10-21,AUTOMOTIVE,193.0,0,99.28,
2013-10-22,AUTOMOTIVE,206.0,0,97.63,
2013-10-23,AUTOMOTIVE,174.0,0,96.9,
2013-10-24,AUTOMOTIVE,168.0,0,96.65,
2013-10-25,AUTOMOTIVE,183.0,0,97.4,
2013-10-26,AUTOMOTIVE,321.0,0,97.4,
2013-10-27,AUTOMOTIVE,318.0,0,97.4,
2013-10-28,AUTOMOTIVE,182.0,0,98.74,
2013-10-29,AUTOMOTIVE,169.0,0,98.29,
2013-10-30,AUTOMOTIVE,218.0,0,96.81,
2013-10-31,AUTOMOTIVE,184.0,0,96.29,
2013-11-01,AUTOMOTIVE,229.0,0,94.56,
2013-11-02,AUTOMOTIVE,350.0,0,94.56,1.0
2013-11-03,AUTOMOTIVE,334.0,0,94.56,1.0
2013-11-04,AUTOMOTIVE,197.0,0,94.58,
2013-11-05,AUTOMOTIVE,178.0,0,93.4,
2013-11-06,AUTOMOTIVE,211.0,0,94.74,1.0
2013-11-07,AUTOMOTIVE,175.0,0,94.25,1.0
2013-11-08,AUTOMOTIVE,196.0,0,94.56,
2013-11-09,AUTOMOTIVE,322.0,0,94.56,
2013-11-10,AUTOMOTIVE,386.0,0,94.56,1.0
2013-11-11,AUTOMOTIVE,212.0,0,95.13,1.0
2013-11-12,AUTOMOTIVE,178.0,0,93.12,1.0
2013-11-13,AUTOMOTIVE,174.0,0,93.91,
2013-11-14,AUTOMOTIVE,175.0,0,93.76,
2013-11-15,AUTOMOTIVE,165.0,0,93.8,
2013-11-16,AUTOMOTIVE,400.0,0,93.8,
2013-11-17,AUTOMOTIVE,348.0,0,93.8,
2013-11-18,AUTOMOTIVE,200.0,0,93.03,
2013-11-19,AUTOMOTIVE,176.0,0,93.35,
2013-11-20,AUTOMOTIVE,238.0,0,93.34,
2013-11-21,AUTOMOTIVE,200.0,0,95.35,
2013-11-22,AUTOMOTIVE,182.0,0,94.53,
2013-11-23,AUTOMOTIVE,278.0,0,94.53,
2013-11-24,AUTOMOTIVE,334.0,0,94.53,
2013-11-25,AUTOMOTIVE,212.0,0,93.86,
2013-11-26,AUTOMOTIVE,194.0,0,93.41,
2013-11-27,AUTOMOTIVE,197.0,0,92.05,
2013-11-28,AUTOMOTIVE,157.0,0,92.05,
2013-11-29,AUTOMOTIVE,205.0,0,92.55,
2013-11-30,AUTOMOTIVE,363.0,0,92.55,
2013-12-01,AUTOMOTIVE,439.0,0,92.55,
2013-12-02,AUTOMOTIVE,278.0,0,93.61,
2013-12-03,AUTOMOTIVE,287.0,0,95.83,
2013-12-04,AUTOMOTIVE,230.0,0,96.97,
2013-12-05,AUTOMOTIVE,223.0,0,97.14,1.0
2013-12-06,AUTOMOTIVE,218.0,0,97.48,1.0
2013-12-07,AUTOMOTIVE,315.0,0,97.48,
2013-12-08,AUTOMOTIVE,349.0,0,97.48,1.0
2013-12-09,AUTOMOTIVE,177.0,0,97.1,
2013-12-10,AUTOMOTIVE,214.0,0,98.32,
2013-12-11,AUTOMOTIVE,198.0,0,97.25,
2013-12-12,AUTOMOTIVE,203.0,0,97.21,
2013-12-13,AUTOMOTIVE,208.0,0,96.27,
2013-12-14,AUTOMOTIVE,365.0,0,96.27,
2013-12-15,AUTOMOTIVE,411.0,0,96.27,
2013-12-16,AUTOMOTIVE,228.0,0,97.18,
2013-12-17,AUTOMOTIVE,207.0,0,96.99,
2013-12-18,AUTOMOTIVE,198.0,0,97.59,
2013-12-19,AUTOMOTIVE,196.0,0,98.4,
2013-12-20,AUTOMOTIVE,225.0,0,99.11,
2013-12-21,AUTOMOTIVE,325.0,0,99.11,1.0
2013-12-22,AUTOMOTIVE,365.0,0,99.11,1.0
2013-12-23,AUTOMOTIVE,242.0,0,98.62,1.0
2013-12-24,AUTOMOTIVE,250.0,0,98.87,1.0
2013-12-26,AUTOMOTIVE,317.0,0,99.18,1.0
2013-12-27,AUTOMOTIVE,297.0,0,99.94,
2013-12-28,AUTOMOTIVE,432.0,0,99.94,
2013-12-29,AUTOMOTIVE,386.0,0,99.94,
2013-12-30,AUTOMOTIVE,389.0,0,98.9,
2013-12-31,AUTOMOTIVE,239.0,0,98.17,1.0
2014-01-01,AUTOMOTIVE,4.0,0,98.17,1.0
2014-01-02,AUTOMOTIVE,331.0,0,95.14,
2014-01-03,AUTOMOTIVE,299.0,0,93.66,
2014-01-04,AUTOMOTIVE,404.0,0,93.66,
2014-01-05,AUTOMOTIVE,393.0,0,93.66,
2014-01-06,AUTOMOTIVE,237.0,0,93.12,
2014-01-07,AUTOMOTIVE,232.0,0,93.31,
2014-01-08,AUTOMOTIVE,237.0,0,91.9,
2014-01-09,AUTOMOTIVE,210.0,0,91.36,
2014-01-10,AUTOMOTIVE,227.0,0,92.39,
2014-01-11,AUTOMOTIVE,424.0,0,92.39,
2014-01-12,AUTOMOTIVE,445.0,0,92.39,
2014-01-13,AUTOMOTIVE,238.0,0,91.45,
2014-01-14,AUTOMOTIVE,215.0,0,92.15,
2014-01-15,AUTOMOTIVE,263.0,0,93.78,
2014-01-16,AUTOMOTIVE,255.0,0,93.54,
2014-01-17,AUTOMOTIVE,256.0,0,93.96,
2014-01-18,AUTOMOTIVE,373.0,0,93.96,
2014-01-19,AUTOMOTIVE,405.0,0,93.96,
2014-01-20,AUTOMOTIVE,193.0,0,93.96,
2014-01-21,AUTOMOTIVE,221.0,0,94.51,
2014-01-22,AUTOMOTIVE,227.0,0,96.35,
2014-01-23,AUTOMOTIVE,191.0,0,97.23,
2014-01-24,AUTOMOTIVE,234.0,0,96.66,
2014-01-25,AUTOMOTIVE,339.0,0,96.66,
2014-01-26,AUTOMOTIVE,445.0,0,96.66,
2014-01-27,AUTOMOTIVE,256.0,0,95.82,
2014-01-28,AUTOMOTIVE,187.0,0,97.49,
2014-01-29,AUTOMOTIVE,215.0,0,97.34,
2014-01-30,AUTOMOTIVE,253.0,0,98.25,
2014-01-31,AUTOMOTIVE,282.0,0,97.55,
2014-02-01,AUTOMOTIVE,390.0,0,97.55,
2014-02-02,AUTOMOTIVE,466.0,0,97.55,
2014-02-03,AUTOMOTIVE,274.0,0,96.44,
2014-02-04,AUTOMOTIVE,277.0,0,97.24,
2014-02-05,AUTOMOTIVE,295.0,0,97.4,
2014-02-06,AUTOMOTIVE,261.0,0,97.84,
2014-02-07,AUTOMOTIVE,219.0,0,99.98,
2014-02-08,AUTOMOTIVE,320.0,0,99.98,
2014-02-09,AUTOMOTIVE,303.0,0,99.98,
2014-02-10,AUTOMOTIVE,226.0,0,100.12,
2014-02-11,AUTOMOTIVE,194.0,0,99.96,
2014-02-12,AUTOMOTIVE,217.0,0,100.38,
2014-02-13,AUTOMOTIVE,196.0,0,100.27,
2014-02-14,AUTOMOTIVE,198.0,0,100.31,
2014-02-15,AUTOMOTIVE,342.0,0,100.31,
2014-02-16,AUTOMOTIVE,354.0,0,100.31,
2014-02-17,AUTOMOTIVE,224.0,0,100.31,
2014-02-18,AUTOMOTIVE,199.0,0,102.54,
2014-02-19,AUTOMOTIVE,230.0,0,103.46,
2014-02-20,AUTOMOTIVE,183.0,0,103.2,
2014-02-21,AUTOMOTIVE,237.0,0,102.53,
2014-02-22,AUTOMOTIVE,391.0,0,102.53,
2014-02-23,AUTOMOTIVE,327.0,0,102.53,
2014-02-24,AUTOMOTIVE,203.0,0,103.17,
2014-02-25,AUTOMOTIVE,244.0,0,102.2,
2014-02-26,AUTOMOTIVE,237.0,0,102.93,
2014-02-27,AUTOMOTIVE,235.0,0,102.68,
2014-02-28,AUTOMOTIVE,321.0,0,102.88,
2014-03-01,AUTOMOTIVE,555.0,0,102.88,
2014-03-02,AUTOMOTIVE,389.0,0,102.88,1.0
2014-03-03,AUTOMOTIVE,330.0,0,105.34,1.0
2014-03-04,AUTOMOTIVE,436.0,0,103.64,1.0
2014-03-05,AUTOMOTIVE,323.0,0,101.75,
2014-03-06,AUTOMOTIVE,296.0,0,101.82,
2014-03-07,AUTOMOTIVE,317.0,0,102.82,
2014-03-08,AUTOMOTIVE,433.0,0,102.82,
2014-03-09,AUTOMOTIVE,468.0,0,102.82,
2014-03-10,AUTOMOTIVE,245.0,0,101.39,
2014-03-11,AUTOMOTIVE,244.0,0,100.29,
2014-03-12,AUTOMOTIVE,238.0,0,98.29,
2014-03-13,AUTOMOTIVE,196.0,0,98.57,
2014-03-14,AUTOMOTIVE,211.0,0,99.23,
2014-03-15,AUTOMOTIVE,361.0,0,99.23,
2014-03-16,AUTOMOTIVE,532.0,0,99.23,
2014-03-17,AUTOMOTIVE,268.0,0,98.43,
2014-03-18,AUTOMOTIVE,266.0,0,100.08,
2014-03-19,AUTOMOTIVE,241.0,0,100.71,
2014-03-20,AUTOMOTIVE,283.0,0,99.68,
2014-03-21,AUTOMOTIVE,238.0,0,99.97,
2014-03-22,AUTOMOTIVE,371.0,0,99.97,
2014-03-23,AUTOMOTIVE,474.0,0,99.97,
2014-03-24,AUTOMOTIVE,289.0,0,100.05,
2014-03-25,AUTOMOTIVE,269.0,0,99.66,
2014-03-26,AUTOMOTIVE,239.0,0,100.61,
2014-03-27,AUTOMOTIVE,231.0,0,101.25,
2014-03-28,AUTOMOTIVE,247.0,0,101.73,
2014-03-29,AUTOMOTIVE,411.0,0,101.73,
2014-03-30,AUTOMOTIVE,428.0,0,101.73,
2014-03-31,AUTOMOTIVE,286.0,0,101.57,
2014-04-01,AUTOMOTIVE,269.0,0,99.69,1.0
2014-04-02,AUTOMOTIVE,310.0,0,99.6,
2014-04-03,AUTOMOTIVE,262.0,0,100.29,
2014-04-04,AUTOMOTIVE,232.0,0,101.16,
2014-04-05,AUTOMOTIVE,460.0,0,101.16,
2014-04-06,AUTOMOTIVE,442.0,0,101.16,
2014-04-07,AUTOMOTIVE,252.0,0,100.43,
2014-04-08,AUTOMOTIVE,207.0,0,102.57,
2014-04-09,AUTOMOTIVE,228.0,0,103.55,
2014-04-10,AUTOMOTIVE,204.0,0,103.37,
2014-04-11,AUTOMOTIVE,207.0,0,103.68,
2014-04-12,AUTOMOTIVE,403.0,0,103.68,1.0
2014-04-13,AUTOMOTIVE,393.0,0,103.68,
2014-04-14,AUTOMOTIVE,236.0,0,104.05,1.0
2014-04-15,AUTOMOTIVE,215.0,0,103.7,
2014-04-16,AUTOMOTIVE,273.0,0,103.71,
2014-04-17,AUTOMOTIVE,252.0,0,104.33,
2014-04-18,AUTOMOTIVE,382.0,0,104.33,1.0
2014-04-19,AUTOMOTIVE,403.0,0,104.33,
2014-04-20,AUTOMOTIVE,354.0,0,104.33,
2014-04-21,AUTOMOTIVE,247.0,0,104.35,1.0
